time,open,high,low,close
2023-01-09 22:00:00+00:00,1.07323,1.07594,1.07122,1.07342
2023-01-10 22:00:00+00:00,1.07346,1.07764,1.07256,1.07579
2023-01-11 22:00:00+00:00,1.07566,1.08670,1.07305,1.08514
2023-01-12 22:00:00+00:00,1.08487,1.08680,1.07804,1.08324
2023-01-15 22:00:00+00:00,1.08311,1.08743,1.08015,1.08237
2023-01-16 22:00:00+00:00,1.08220,1.08695,1.07744,1.07880
2023-01-17 22:00:00+00:00,1.07904,1.08876,1.07662,1.07946
2023-01-18 22:00:00+00:00,1.07904,1.08400,1.07822,1.08312
2023-01-19 22:00:00+00:00,1.08320,1.08590,1.08024,1.08555
2023-01-22 22:00:00+00:00,1.08650,1.09270,1.08462,1.08718
2023-01-23 22:00:00+00:00,1.08718,1.08981,1.08352,1.08882
2023-01-24 22:00:00+00:00,1.08866,1.09237,1.08574,1.09152
2023-01-25 22:00:00+00:00,1.09168,1.09296,1.08506,1.08912
2023-01-26 22:00:00+00:00,1.08916,1.09004,1.08379,1.08679
2023-01-29 22:00:00+00:00,1.08646,1.09139,1.08394,1.08517
2023-01-30 22:00:00+00:00,1.08494,1.08749,1.08022,1.08632
2023-01-31 22:00:00+00:00,1.08642,1.10013,1.08522,1.09896
2023-02-01 22:00:00+00:00,1.09886,1.10330,1.08854,1.09098
2023-02-02 22:00:00+00:00,1.09096,1.09404,1.07928,1.07939
2023-02-05 22:00:00+00:00,1.07843,1.07991,1.07094,1.07250
2023-02-06 22:00:00+00:00,1.07276,1.07667,1.06692,1.07274
2023-02-07 22:00:00+00:00,1.07241,1.07609,1.07095,1.07143
2023-02-08 22:00:00+00:00,1.07126,1.07911,1.07094,1.07390
2023-02-09 22:00:00+00:00,1.07383,1.07528,1.06662,1.06774
2023-02-12 22:00:00+00:00,1.06834,1.07300,1.06556,1.07242
2023-02-13 22:00:00+00:00,1.07223,1.08047,1.07068,1.07357
2023-02-14 22:00:00+00:00,1.07376,1.07446,1.06605,1.06880
2023-02-15 22:00:00+00:00,1.06893,1.07226,1.06544,1.06730
2023-02-16 22:00:00+00:00,1.06726,1.06984,1.06128,1.06937
2023-02-19 22:00:00+00:00,1.06878,1.07048,1.06702,1.06844
2023-02-20 22:00:00+00:00,1.06852,1.06984,1.06375,1.06464
2023-02-21 22:00:00+00:00,1.06490,1.06642,1.05992,1.06044
2023-02-22 22:00:00+00:00,1.06059,1.06278,1.05770,1.05950
2023-02-23 22:00:00+00:00,1.05930,1.06143,1.05362,1.05457
2023-02-26 22:00:00+00:00,1.05484,1.06200,1.05328,1.06098
2023-02-27 22:00:00+00:00,1.06060,1.06454,1.05742,1.05753
2023-02-28 22:00:00+00:00,1.05764,1.06915,1.05653,1.06696
2023-03-01 22:00:00+00:00,1.06690,1.06730,1.05766,1.05969
2023-03-02 22:00:00+00:00,1.05990,1.06388,1.05883,1.06342
2023-03-05 22:00:00+00:00,1.06273,1.06944,1.06222,1.06831
2023-03-06 22:00:00+00:00,1.06777,1.06946,1.05460,1.05492
2023-03-07 22:00:00+00:00,1.05490,1.05740,1.05244,1.05432
2023-03-08 22:00:00+00:00,1.05462,1.05913,1.05381,1.05822
2023-03-09 22:00:00+00:00,1.05800,1.07010,1.05740,1.06386
2023-03-12 21:00:00+00:00,1.06824,1.07486,1.06504,1.07316
2023-03-13 21:00:00+00:00,1.07278,1.07496,1.06790,1.07332
2023-03-14 21:00:00+00:00,1.07382,1.07600,1.05161,1.05756
2023-03-15 21:00:00+00:00,1.05760,1.06356,1.05510,1.06124
2023-03-16 21:00:00+00:00,1.06089,1.06854,1.06081,1.06656
2023-03-19 21:00:00+00:00,1.06890,1.07308,1.06313,1.07238
2023-03-20 21:00:00+00:00,1.07202,1.07886,1.07040,1.07694
2023-03-21 21:00:00+00:00,1.07676,1.09124,1.07591,1.08561
2023-03-22 21:00:00+00:00,1.08580,1.09298,1.08242,1.08320
2023-03-23 21:00:00+00:00,1.08334,1.08388,1.07132,1.07598
2023-03-26 21:00:00+00:00,1.07750,1.08002,1.07450,1.07992
2023-03-27 21:00:00+00:00,1.07970,1.08487,1.07955,1.08454
2023-03-28 21:00:00+00:00,1.08446,1.08718,1.08178,1.08453
2023-03-29 21:00:00+00:00,1.08440,1.09264,1.08236,1.09062
2023-03-30 21:00:00+00:00,1.09059,1.09258,1.08368,1.08422
2023-04-02 21:00:00+00:00,1.08416,1.09166,1.07882,1.09028
2023-04-03 21:00:00+00:00,1.09042,1.09734,1.08828,1.09566
2023-04-04 21:00:00+00:00,1.09518,1.09699,1.08911,1.09076
2023-04-05 21:00:00+00:00,1.09040,1.09378,1.08846,1.09217
2023-04-06 21:00:00+00:00,1.09219,1.09242,1.08765,1.09012
2023-04-09 21:00:00+00:00,1.09026,1.09174,1.08314,1.08614
2023-04-10 21:00:00+00:00,1.08627,1.09282,1.08588,1.09131
2023-04-11 21:00:00+00:00,1.09124,1.10006,1.09111,1.09904
2023-04-12 21:00:00+00:00,1.09912,1.10678,1.09767,1.10472
2023-04-13 21:00:00+00:00,1.10465,1.10760,1.09724,1.09944
2023-04-16 21:00:00+00:00,1.09901,1.09999,1.09092,1.09274
2023-04-17 21:00:00+00:00,1.09250,1.09830,1.09223,1.09738
2023-04-18 21:00:00+00:00,1.09720,1.09842,1.09172,1.09561
