Name: EURUSD_2023-2024.csv
Initial Account: 25000
Total Trades: 71
Win Rate: 0.5352112676056338
$ (%) Gain:1188.6815134430617(0.04754726053772251)
Max Drawdown: -0.0199980099999999
#, Lot Size, RR, Direction, Entry ($), SL ($), TP ($), W/L, Gain ($), Account ($)
37, 4.41833659907887, 1.3, BUY, 1.0553, 1.0494214285714285, 1.0629421428571428, LOSS, -259.7350729315658, 25713.77222022502
38, 4.374153233088082, 1.3, BUY, 1.048, 1.0421214285714286, 1.055642142857143, WIN, 257.1377222022502, 25970.909942427268
39, 4.417894765418962, 1.3, BUY, 1.0567, 1.0508214285714286, 1.064342142857143, LOSS, -259.7090994242727, 25711.200843002996
40, 4.373715817764772, 1.3, BUY, 1.0574, 1.0515214285714285, 1.0650421428571428, WIN, 257.1120084300299, 25968.312851433027
41, 4.417452975942421, 1.3, BUY, 1.0661, 1.0602214285714286, 1.073742142857143, WIN, 259.6831285143303, 26227.995979947358
42, 4.461627505701845, 1.3, BUY, 1.069, 1.0631214285714286, 1.0766421428571429, WIN, 262.27995979947354, 26490.275939746833
43, 4.506243780758863, 1.3, BUY, 1.0752, 1.0693214285714285, 1.0828421428571429, LOSS, -264.90275939746834, 26225.373180349365
44, 4.461181342951275, 1.3, BUY, 1.0725, 1.0666214285714286, 1.080142142857143, WIN, 262.2537318034937, 26487.626912152857
45, 4.505793156380788, 1.3, BUY, 1.0785, 1.0726214285714286, 1.086142142857143, WIN, 264.8762691215286, 26752.503181274384
46, 4.550851087944595, 1.3, SELL, 1.088, 1.0938785714285715, 1.0803578571428571, WIN, 267.52503181274386, 27020.028213087127
47, 4.5963595988240415, 1.3, BUY, 1.0798, 1.0739214285714287, 1.087442142857143, WIN, 270.20028213087124, 27290.228495217998
48, 4.642323194812281, 1.3, SELL, 1.0848, 1.0906785714285714, 1.077157857142857, LOSS, -272.90228495217997, 27017.32621026582
49, 4.595899962864158, 1.3, SELL, 1.0875, 1.0933785714285713, 1.079857857142857, LOSS, -270.17326210265816, 26747.152948163162
50, 4.549940963235517, 1.3, SELL, 1.0905, 1.0963785714285714, 1.082857857142857, LOSS, -267.4715294816316, 26479.68141868153
51, 4.504441553603162, 1.3, SELL, 1.0982, 1.1040785714285715, 1.0905578571428571, LOSS, -264.7968141868153, 26214.884604494717
52, 4.45939713806713, 1.3, SELL, 1.0954, 1.1012785714285713, 1.087757857142857, LOSS, -262.14884604494716, 25952.73575844977
